,content,title,posted_at,url
0,"Au cours d'un point de presse lundi dernier, le ministre d'État chargé de la justice et garde des sceaux, Constant Mutamba a annoncé avoir reçu la lettre lui adressée par l'ancien député provincial de Kinshasa, Mike Mukebayi, incarcéré à la prison centrale de Makala depuis près 18 mois. Ce membre du gouvernement Suminwa promet une issue à ce dossier opposant un ancien journaliste au ministère public. Dans sa lettre, consultée par ACTUALITÉ.CD, l'ancien élu de la commune de Lingwala a révélé comment il est victime de mauvaises décisions prolongeant son arrestation à Makala. Mike Mukebayi Nkoso se plaint du fait que deux mois se sont écoulés sans que la Cour de cassation ne fixe la date de l'audience, après un jugement avant dire droit prononcé par la Cour d'appel de Kinshasa/Gombe. Lire :  Membre du parti Ensemble pour la République de Moïse Katumbi, Mukebayi est en détention depuis le 23 mai 2023 à la prison centrale de Makala. Son arrestation a fait suite à son soutien à la famille d'un mineur victime de violences lors d'une manifestation de l'opposition le 20 mai, dirigée par Martin Fayulu, Moïse Katumbi, Matata Ponyo et Delly Sesanga, sévèrement réprimée par les forces de l'ordre, provoquant de nombreux dégâts et blessés","Affaire Mike Mukebayi: “Croyez-moi, nous sommes suffisamment impliqués pour que la bonne justice soit dite”, Constant Mutamba | Actualite.cd",2024-11-06 08:05:00,https://actualite.cd/index.php/2024/11/06/affaire-mike-mukebayi-croyez-moi-nous-sommes-suffisamment-impliques-pour-que-la-bonne
1,"Parmi les avancées majeures de ce projet, la SNEL SA procède à l’installation de nouveaux équipements essentiels pour améliorer la stabilité du réseau. Un tableau de distribution électrique 30kV et un autre de 20kV, ainsi qu’un transformateur de 30/20kV-15MVA, sont installés à la sous-station CDA. Cette infrastructure devrait permettre non seulement d’augmenter la capacité de distribution de l’électricité, mais aussi d’assurer une plus grande stabilité, réduisant ainsi les coupures et améliorant la qualité du service. Ces améliorations s’inscrivent dans la volonté de soutenir le développement économique de Kinshasa et d’offrir des conditions de vie plus confortables aux habitants. Un chantier d’envergure est également en cours pour assainir partiellement le réseau de moyenne tension. À ce jour, près de 10 000 mètres de câbles ont été installés, soit plus de 70 % de l’objectif total. Ce chantier vise à remplacer les anciennes infrastructures dégradées par des équipements plus modernes, garantissant ainsi une sécurité accrue et une fiabilité supérieure du réseau. Ces efforts contribuent à renforcer la résilience du système électrique et à réduire les pannes imprévues, offrant ainsi une gestion plus stable de l’approvisionnement en électricité dans la capitale. L’un des enjeux majeurs du projet reste la lutte contre les « poches noires », ces zones souvent privées d’électricité. Pour y répondre, la SNEL SA a installé deux nouveaux transformateurs dans les cabines de Basilunda (Kintambo) et Consolata (Mont Ngafula), des quartiers régulièrement confrontés aux coupures. Ces équipements ont été spécifiquement choisis pour stabiliser l’approvisionnement dans ces zones vulnérables et réduire de manière significative les interruptions de service. Ces progrès sont vus comme une avancée majeure pour ces communes, où les habitants bénéficieront bientôt d’un service électrique plus fiable et plus stable. La réhabilitation d’une cabine mobile équipée d’un transformateur bi-tension 20-6,6kV/0,4kV est également un des aspects clés de ce projet. Ce transformateur mobile, qui peut être rapidement déployé en cas de défaillance du réseau (notamment après un incendie de cabine), permettra de réduire considérablement les temps d’interruption du service. Cet équipement assure ainsi une meilleure réactivité en cas d’incident et renforce la sécurité du réseau, un élément crucial pour garantir la fiabilité des installations. Ces efforts conjoints témoignent de l’engagement de la SNEL SA à fournir à Kinshasa une alimentation électrique stable et durable. Grâce à ces nouvelles infrastructures et aux travaux en cours, la capitale se rapproche progressivement d’un réseau énergétique plus fiable, capable de répondre aux besoins croissants de ses habitants. L’objectif est de créer un environnement propice au développement économique, tout en assurant une distribution équitable et durable de l’électricité à tous les habitants, même dans les zones les plus éloignées. Avec ces améliorations significatives, la SNEL SA et la Division de Distribution de Kinshasa (DDK) montrent clairement leur volonté de bâtir un avenir énergétique plus inclusif et résilient pour la capitale congolaise. Ce projet contribuera sans nul doute au bien-être des habitants et au développement durable de Kinshasa.",Kinshasa : la SNEL SA modernise son Réseau électrique pour assurer un approvisionnement plus fiable et stable,2024-11-06 00:00:00,https://econewsrdc.com/kinshasa-la-snel-sa-modernise-son-reseau-electrique-pour-assurer-un-approvisionnement-plus-fiable-et-stable/
2,"Désavouée par 17 députés nationaux de 3 Alliances (A24, A25 et AN) qui lui reprochent, dans une déclaration faite tout récemment, une gestion égocentriste et despotique, madame Fifi Masuka, autorité morale de ces trois regroupements politiques, au lieu de chercher une thérapie appropriée aux reproches lui adressés par ceux qui ne veulent d’elle que le respect mutuel et le respect des engagements, pense résoudre tout avec son argent qu’elle a amassé de la manière dont tout le monde connait à la tête de la province du Lualaba. De ses sources très sûres, Scoop RDC apprend que Mme Souzy, assistante de Mme la Gouverneure Fifi Masuka, a débarqué ce mardi 05 novembre à Kinshasa avec un sac d’argent en vue de corrompre les députés de 3A pour qu’ils retirent leurs signatures de désaveu et se dédire. Mme Souzy qui est la petite sœur propre de Noëlla Ayeganagato, ministre de la jeunesse au gouvernement Suminwa, donc ministre de Fifi, a associé à cette opération, le sulfureux et politiquement bois mort Noël Botakile et le député Bimwala, ancien député de Congo Espoir de José Mpanda, acheté, a-t-on appris, à 200 mille USD par Fifi Masuka pour qu’il devienne FIDEC. D’après toujours les sources de Scoop RDC, c’est 20 mille USD qui sont mis en jeu pour chaque député qui va retirer sa signature. Mais comme l’argent ne résout pas tout, les agents corrupteurs de Mme Masuka n’ont pas trouvé en face d’eux des répondeurs. Aux 17 signataires de la déclaration de désavoue, 3 autres qui ont compris la démarche de leurs collègues, se sont joints. Et pour l’instant, la « Panthère du Lualaba » n’a que 6 députés sur 26 qui lui sont encore favorables. Dossier à suivre.",Désavouée par les députés nationaux de 3 Alliances : Fifi Masuka actionne désespérément la machine de la corruption,2024-11-06 08:08:15,https://scooprdc.net/2024/11/06/desavouee-par-les-deputes-nationaux-de-3-alliances-fifi-masuka-actionne-desesperement-la-machine-de-la-corruption/
3,"novembre 6, 2024 Linafoot 2024/25 : L’OC Renaissance frappée par New Jack, Maniema Union prend la tête du groupe B Par :    La rédaction 
 
 
 Kinshasa, 6 Novembre 2024 – Trois rencontres se sont jouées ce mercredi dans le cadre de deux groupes du championnat national. Parmi les résultats, l’OC Renaissance a été copieusement laminée (4-0) au stade des martyrs par le FC New Jack. L’AS Maniema, par contre, ramène une précieuse victoire de Goma. Les défaites se suivent dans le camp de l’OC Renaissance. Après la dernière enregistrée face à l’AS Dauphin Noir, les oranges ont mordu encore la poussière. Bola Lobota a signé un doublé à la 45è et 62é. Devant la pression, Mohuta a marqué contre son camp et le dernier but du break a été l’œuvre de Ilonda à la 70è. Une fois de plus, les Renais ratent l’opportunité de prendre la tête du groupe B, et restent coller à leur 4è position avec 8 points. Les jaunes et bleus de leur côté signent leur toute première victoire de la saison et avancent à la 11è avec 5 points. De l’autre côté, les unionistes ont réalisé une très belle performance en alignant leur 3è victoire (1-0) de la saison devant l’AS Dauphin Noir au stade de l’unité de Goma. L’unique réalisation de la partie a été l’œuvre de Christian Balako à la 21è permettant ainsi aux hommes de Papy Kimoto de prendre la tête du groupe B avec 11 points alors que les Gomatraciens clôturent le podium (3è) avec 10 points. Dans le groupe A, la JS Groupe Bazano s’est imposé sur un score étriqué (1-0) face à l’US Panda B52 au stade Albert kikula. Cette victoire permet à Bazano de rejoindre le Saint Eloi Lupopo en tête avec 12 points chacun. Roland MAKIESE","Linafoot 2024/25 : L’OC Renaissance frappée par New Jack, Maniema Union prend la tête du groupe B",2024-11-06 00:00:00,https://depeche.cd/2024/11/06/linafoot-2024-25-loc-renaissance-frappee-par-new-jack-maniema-union-prend-la-tete-du-groupe-b/
4,"novembre 6, 2024 Présidentielle Américaine: Félix Tshisekedi félicite Donald Trump pour sa victoire  Par :    La rédaction 
 
 
 Kinshasa, 6 novembre 2024- Des réactions vont de partout après l’élection de Donald Trump à la présidentielle des États Unies d’Amérique. Le chef de l’État congolais Félix Tshisekedi l’a adressé ses vives félicitations. A travers le compte X de la présidence de la RDC, Félix Tshisekedi s’est également montré favorable à collaborer avec le 47e président des USA. https://x.com/Presidence_RDC/status/1854110092200718443?t=DASTiGgtFKtL7uqO_0t65A&s=19 L’ancien président américain a fait son retour au devant de la scène américaine en l’emportant face à Kamala Harris, vice président de USA sous la présidence de John Biden. Cédric BEYA ",Présidentielle Américaine: Félix Tshisekedi félicite Donald Trump pour sa victoire ,2024-11-06 00:00:00,https://depeche.cd/2024/11/06/presidentielle-americaine-felix-tshisekedi-felicite-donald-trump-pour-sa-victoire/
5,"novembre 6, 2024 Législatives nationales et provinciales à Masimanimba : La CENI accentue la sensibilisation auprès de la population Par :    La rédaction 
 
 
 Kinshasa, 5 novembre 2024- Le Directeur de la Communication de la Commission Électorale Nationale Indépendante (CENI), Jean-Baptiste Itipo, accompagné du Secrétaire Exécutif Provincial (SEP) du Kwilu, Géorgine Vandame Ikwampofia, a intensifié la sensibilisation pour la reprise des élections législatives et provinciales en conscientisant la population du secteur de Mosango (à une quarantaine de Km de Masi-Manimba) au marché de la place où régnait un engouement de grands jours, entre les commerçants venus de Kinshasa, de Kikwit, de Lufu et des environs ainsi que de nombreux clients. Appuyée par l’Administrateur du territoire adjoint, Nora Mawa Mundele, la délégation de la CENI s’est activée à rappeler que la reprise de ces scrutins a été reprogrammée le 15 décembre 2024 pour le compte de deux circonscriptions électorales de Masi-Manimba et de de Yakoma dont les opérations électorales ont été annulées pour fraudes et violences. Cette reprise va permettre aux compatriotes de ces circonscriptions électorales concernées de choisir leurs députés nationaux et provinciaux. Martelant que la condition exigée est la détention de la carte d’électeur, il est revenu sur la nécessité de se conformer à la loi électorale faisant obligation à tout électeur de disposer de ce document, sinon se faire établir un duplicata pour ceux qui l’ont égarée ou devenue illisible, à l’antenne de la CENI ou dans le secteur où il s’est fait enrôler. Mais bien plus, aller consulter les listes électorales affichées aux différents centres de vote pour s’assurer que son nom y figure et celui du candidat de son choix. Il a insisté sur le recrutement des techniciens informatiques des centres de vote (TICV) parmi les jeunes ayant la maîtrise de l’outil informatique dont la clôture de réception des candidatures est prévue le 6 novembre. La Rédaction ",Législatives nationales et provinciales à Masimanimba : La CENI accentue la sensibilisation auprès de la population,2024-11-06 00:00:00,https://depeche.cd/2024/11/06/legislatives-nationales-et-provinciales-a-masimanimba-la-ceni-accentue-la-sensibilisation-aupres-de-la-population/
6,"novembre 6, 2024 Présidentielles aux États-Unis: Didi Manara à la tête d’une délégation de la CENI pour l’observation électorale  Par :    La rédaction 
 
 
 Kinshasa, 5 novembre 2024- Le 2ᵉ Vice-Président de la Commission Électorale Nationale Indépendante (CENI), Dr Didi Manara Linga, participe au Programme Électoral Américain (USEP 2024), initié par la Fondation Internationale pour les Systèmes Électoraux (IFES). Aux côtés de sa délégation, il prend part à une mission d’observation organisée par les autorités américaines, composée de près de 200 représentants d’organes de gestion électorale, de la société civile et des médias. Après la visite de plusieurs bureaux de vote dans le cadre de cette mission, Dr Manara a partagé ses impressions :“ Ici, aux États-Unis, le système électoral est fortement décentralisé. Chaque État gère ses propres règles électorales, et le mode de scrutin varie d’un État à l’autre. De plus, avec un registre de population en place, les électeurs peuvent s’inscrire même le jour du vote. En RDC, nous devons passer par un processus coûteux d’enrôlement des électeurs. À titre d’exemple, dans l’État de Virginie, des électeurs ont pu s’enregistrer le jour mêm e”. Il a également noté l’atmosphère calme observée sur les lieux de vote : “Il n’y a pas d’engouement. Tout est calme et serein, en partie grâce au désengorgement des files d’attente, puisque de nombreux électeurs ont déjà voté par anticipation. Sur les 240 millions d’électeurs attendus, 75 millions ont voté avant le jour J, à partir du 11 octobre. Ainsi, le jour de l’élection, il y avait un flux de votants sans affluence excessive”. Le 2ᵉ Vice-Président a aussi observé certaines similitudes avec le processus électoral en RDC. En matière de leçons apprises, Dr Manara a souligné l’importance d’un registre national de la population :  “À Washington DC, le vote est semi-électronique : l’électeur vote avec un bulletin papier, puis scanne son vote pour un comptage automatisé, un processus similaire à celui que nous utilisons en RDC. Cependant, dans certains autres États, il n’existe presque pas de bureaux de vote ; tous les électeurs votent par correspondance”. Au cours de ce programme, Dr Manara a participé à diverses sessions de formation portant notamment sur le système électoral américain, les enjeux de l’intégrité de l’information, le rôle de l’intelligence artificielle dans la liberté d’expression, la confiance dans les élections, l’usage de la technologie électorale (machines à voter), ainsi que les mécanismes de vote à l’étranger, par correspondance, et l’engagement des citoyens, particulièrement des jeunes, en politique. La rédaction ",Présidentielles aux États-Unis: Didi Manara à la tête d’une délégation de la CENI pour l’observation électorale ,2024-11-06 00:00:00,https://depeche.cd/2024/11/06/presidentielles-aux-etats-unis-didi-manara-a-la-tete-dune-delegation-de-la-ceni-pour-lobservation-electorale/
7,"novembre 6, 2024 Redynamisation de L’ITIE-RDC : La Première ministre exige une transparence accrue et une meilleure gestion des ressources naturelles Par :    La rédaction 
 
 
 Kinshasa, 6 novembre 2024- La Première Ministre Judith Suminwa Tuluka a ouvert, ce lundi 4 novembre 2024, l’atelier national dédié à la redynamisation du processus ITIE en République Démocratique du Congo, au chapiteau du Pullman Kinshasa. Cet atelier organisé par le comité exécutif de l’Initiative pour la transparence dans les industries extractives de la RDC vise entre autres à renouveler et renforcer l’implication des parties prenantes dans le processus ITIE, mais aussi à analyser comment la norme ITIE 2023 peut servir de levier pour encourager des réformes visant à améliorer la gouvernance durable des ressources naturelles, en identifiant les priorités à établir. Cet engagement fort de la Première Ministre souligne la volonté du Gouvernement à promouvoir une gestion responsable et durable des richesses naturelles du pays, essentielles pour le développement socio-économique de la RDC. “Ensemble, mobilisons-nous pour une transparence accrue et une meilleure gestion de nos ressources, afin d’assurer un avenir prospère pour tous les citoyens congolais”,  a sensibilisé la Cheffe du Gouvernement. Engagement du Gouvernement dans le processus ITIE Dans son allocution, la Cheffe de l’Exécutif central a réaffirmé l’engagement indéfectible de son Gouvernement dans le processus de l’ITIE et a reconnu que cette démarche, bien qu’essentielle, rencontre de nombreux défis qui entravent l’appropriation par les parties prenantes. “Dans un souci de promouvoir la transparence et la bonne gouvernance des ressources naturelles de la RDC, pour le bien-être de notre population, le Gouvernement a adhéré librement à l’ITIE et s’est formellement engagé à mettre en œuvre cette norme depuis 2005. Ces assises s’inscrivent dans la continuité de notre action, car nous voyons l’ITIE-RDC comme un outil clé pour l’implémentation de la transparence et des bonnes pratiques dans le secteur extractif national”, a-t-elle souligné. Pour Jean-Jacques Kayembe, Coordonnateur National de l’ITIE-RDC, ces assises représentent une véritable opportunité pour les parties prenantes en vue de « redynamiser le processus en l’abordant à travers un large éventail de points inscrits dans le programme ; et cela dans la perspective de préparer la validation de la RDC, qui débutera le 1er janvier 2026”  a-t-il déclaré. À l’issue de cet atelier national de quatre jours, les parties prenantes adopteront un plan d’actions énumérant des mesures claires et prioritaires pour accélérer les efforts vers une gestion durable des ressources naturelles de la RDC. Dans le premier pilier de son Programme d’Actions (PAG 2024-2028), le Gouvernement Suminwa associe la gestion durable des ressources naturelles du pays à la maximisation 
des retombées socio-économiques du secteur extractif. Au cours des cinq dernières années, le secteur a été marqué par deux développements intéressants, à savoir : l’initiative de la mise en place d’une chaîne de valeur des batteries des véhicules électriques ; et l’encadrement des artisans miniers du cobalt. Des efforts que le Gouvernement Suminwa poursuit pour assainir la chaîne 
d’approvisionnement des minerais congolais. La Rédaction ",Redynamisation de L’ITIE-RDC : La Première ministre exige une transparence accrue et une meilleure gestion des ressources naturelles,2024-11-06 00:00:00,https://depeche.cd/2024/11/06/redynamisation-de-litie-rdc-la-premiere-ministre-exige-une-transparence-accrue-et-une-meilleure-gestion-des-ressources-naturelles/
8,"novembre 6, 2024 Mbuyi-Mayi-Démolition de 800 maisons: L’abbé Théodore Kanyiki évoque des “dérapages” dans les travaux de modernisation de l’aéroport de Bipemba  Par :    La rédaction 
 
 
 Kinshasa, 6 novembre 2024- Plusieurs familles jadis résidant sur les avenues Dodoma et Zaïre au quartier de la Plaine, dans la commune de Bipemba, passent la nuit à la belle étoile, dans la ville de Mbuyi-Mayi, au Kasaï-Central. D’après l’abbé Théodore Kanyiki, membre de la Voix des sans voix (VSV) et délégué des victimes, il s’agit de 800 maisons qui ont été démolies, le 28 octobre 2024. Il a fait part de cette situation mardi 5 Novembre, au Chef de l’État à travers une audience lui accordée à son cabinet de travail de travail de la cité de l’Union africaine. Au sortir de leurs échanges, le prélat a affirmé avoir dénoncé les  dérapages dans la réalisation des travaux de modernisation de l’aéroport national de Bipemba. “Il y a eu des dérapages dans la réalisation de ce beau projet. Il y a eu des destructions méchantes et cela n’a pas plu aux habitants. C’est pourquoi en ma qualité de Pasteur, j’ai pris la décision de venir rencontrer le Chef de l’État pour lui transmettre les desiderata de cette population” , a expliqué l’Abbé Théodore. En termes de réponses à sa démarche, il a indiqué que  “le Chef de l’État a promis de dépêcher la ministre des Affaires sociales à Mbujimayi pour rencontrer cette population”.  De même, a-t-il poursuivi, le Félix Tshisekedi a instruit la mise en place d’une commission chargée d’indemniser les victimes. Il convient de noter que les travaux de la modernisation de l’aéroport de Mbuji-mayi ont démarré en 2022. Cédric BEYA ",Mbuyi-Mayi-Démolition de 800 maisons: L’abbé Théodore Kanyiki évoque des “dérapages” dans les travaux de modernisation de l’aéroport de Bipemba ,2024-11-06 00:00:00,https://depeche.cd/2024/11/06/mbuyi-mayi-demolition-de-800-maisons-labbe-theodore-kanyiki-evoque-des-derapages-dans-les-travaux-de-modernisation-de-laeroport-de-bipemba/
9,"novembre 6, 2024 RD -États généraux de la justice : “Un minimum de volonté de nous tous suffit pour que nous ayons un appareil judiciaire fort” (Félix Tshisekedi) Par :    La rédaction 
 
 
 Kinshasa, 06 novembre 2024 – Les travaux des états généraux de la justice ont été officiellement ouverts ce mercredi 06 novembre. La cérémonie a été présidée par le chef de l’État, Félix Tshisekedi. Dans son allocution, le président de la République a souligné que ces assises est une occasion de scruter avec lucidité et honnêteté l’état du système judiciaire, d’identifier les défis qui entravent son dysfonctionnement et de tracer les voies de sa renaissance. Ainsi, il a réaffirmé son engagement de restaurer la justice congolaise. “C’est avec détermination que je me tiens ici pour affirmer que notre appareil judiciaire sera restauré, bon gré malgré. Un minimum de volonté de nous tous suffit pour que nous ayons un appareil judiciaire fort, exempt de dysfonctionnement et de divers maux qui les ronge pour ainsi redevenir un sanctuaire où nul n’est au dessus de la loi et où chaque citoyen, riche ou modeste trouvera la part qui lui est dû dans la distribution de la justice” , a-t-il déclaré. De son côté, le ministre de la Justice Constant Mutamba a invité les participants à travailler de façon à formuler des recommandations qui vont apporter des réformes à l’appareil judiciaire congolais. “Les états généraux que nous organisons n’est pas un lieu de confrontation … mais plutôt un cadre de prise de conscience collective, de remise en cause systémique et systématique des pratiques que nous avons observées pendant des décennies mais qui ont démontré leurs limites et ont détruit notre système judiciaire”,  a-t-il indiqué . Et de poursuivre, “… c es états généraux est un moment particulier pour que nous puissions ensemble, de manière concerter et en synergie, faire le diagnostic réel des maux qui rongent notre justice, faire l’autopsie de notre justice afin de pouvoir proposer une thérapie de choc”. Placés sous le thème “Pourquoi la justice congolaise est-elle malade ? Quelle thérapie pour la guérir?”, ces états généraux lancés ce jour, seront clôturés le 13 novembre prochain au Palais du peuple. Outre l’évaluation des états généraux de 2015 et les travaux proprement dits, ces assises ont aussi eu comme particularité les consultations populaires. Depuis sa nomination à la tête de ce ministère, Constant Mutamba a mené plusieurs réformes et actions, entre autres, l’insaisissabilité des biens des entreprises et services publics, la caution judiciaire, la bancarisation des frais de justice et le désengorgement des prisons. Ouriel LUKOMBO",RD -États généraux de la justice : “Un minimum de volonté de nous tous suffit pour que nous ayons un appareil judiciaire fort” (Félix Tshisekedi),2024-11-06 00:00:00,https://depeche.cd/2024/11/06/rd-etats-generaux-de-la-justice-un-minimum-de-volonte-de-nous-tous-suffit-pour-que-nous-ayons-un-appareil-judiciaire-fort-felix-tshisekedi/
